unit,vehicle,mot_nrg,geo\time,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1987 
NR,BUS_TOT,LPG,IS,: ,: ,: ,: ,: ,: ,: ,0 e,0 e,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,LPG,IT,0 ,0 ,1 ,1 ,1 ,45 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,LPG,LI,: ,: ,0 ,0 ,0 ,0 ,0 ,: ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,LPG,LT,: ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,2 ,: ,: ,15 ,10 ,30 ,40 ,0 ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,LPG,LU,: ,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,LPG,LV,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,LPG,MT,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,LPG,NO,78 ,240 ,75 ,2 ,35 ,0 ,31 ,16 ,: z,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,LPG,PL,10 ,5 ,5 ,: z,8 ,1 ,4 ,5 ,: z,4 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,LPG,RO,: ,12 ,14 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,LPG,SE,: ,0 ,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,LPG,SI,: ,: ,: ,: ,: ,: ,: z,: ,: ,: ,2 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: 
NR,BUS_TOT,LPG,TR,166 ,1 ,181 ,520 ,105 ,11 ,46 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,LPG,UK,: ,: ,: ,: ,: ,: ,: ,2 ,13 ,30 ,14 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,OTH,AT,2 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,OTH,BE,: ,16 ,22 ,7 ,1 ,1 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,OTH,CH,0 n,0 e,50 ,0 e,100 ,0 ,100 ,139 ,15 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,OTH,CY,0 ,0 ,0 ,0 ,: ,0 ,: z,: z,: z,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: 
NR,BUS_TOT,OTH,DE,44 ,102 ,45 ,7 ,12 ,5 ,11 ,: ,152 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,OTH,EE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,OTH,FI,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,1 ,: ,3 ,12 ,13 ,2 ,2 ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,OTH,FR,0 ,: ,: ,19 ,0 ,3 ,17 ,: z,: z,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,OTH,HR,: z,: z,: z,: z,: z,: z,: ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,: ,: ,: ,: 
NR,BUS_TOT,OTH,HU,: ,: ,: ,: ,0 ,0 ,0 ,0 ,2 ,: ,4 ,: ,: ,25 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: 
NR,BUS_TOT,OTH,IE,0 ,0 ,: ,: ,: ,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,: ,: ,: ,: 
NR,BUS_TOT,OTH,IS,: ,: ,: ,: ,: ,: ,: ,0 e,0 e,3 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,OTH,IT,33 ,16 ,60 ,107 ,15 ,19 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,OTH,LI,: ,: ,0 ,0 ,0 ,0 ,0 ,: ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
